Authors,Title,DOI,Publication Date,Is Open Access?,Type of OA,OA Version,Link to OA version
 ,Developmental Exposure to Bisphenol a Degrades Auditory Cortical Processing in Rats.,10.1007/s12264-022-00891-0,2022-06-08,DOI not found by Unpaywall., , , 
 ,Interacting brains revisited: A cross-brain network neuroscience perspective.,10.1002/hbm.25966,2022-06-07,TRUE,gold,publishedVersion,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/hbm.25966
 ,Quantification of SNAP-25 with mass spectrometry and Simoa: a method comparison in Alzheimer's disease.,10.1186/s13195-022-01021-8,2022-06-07,TRUE,gold,publishedVersion,https://alzres.biomedcentral.com/track/pdf/10.1186/s13195-022-01021-8
 ,Population variation in social brain morphology: links to socioeconomic status and health disparity.,10.1080/17470919.2022.2083230,2022-06-07,FALSE,closed,none,none
 ,Neuroimaging signatures predicting motor improvement to focused ultrasound subthalamotomy in Parkinson's disease.,10.1038/s41531-022-00332-9,2022-06-07,TRUE,gold,publishedVersion,https://www.nature.com/articles/s41531-022-00332-9.pdf
 ,Targeted copy number variant identification across the neurodegenerative disease spectrum.,10.1002/mgg3.1986,2022-06-07,FALSE,closed,none,none
 ,Editorial: Shedding Light on the Nervous System: Progress in Neurophotonics Research.,10.3389/fncir.2022.901376,2022-06-07,TRUE,gold,publishedVersion,https://www.frontiersin.org/articles/10.3389/fncir.2022.901376/pdf
 ,Event-based modelling in temporal lobe epilepsy demonstrates progressive atrophy from cross-sectional data.,10.1111/epi.17316,2022-06-04,FALSE,closed,none,none
 ,Time-resolved structure-function coupling in brain networks.,10.1038/s42003-022-03466-x,2022-06-03,TRUE,gold,publishedVersion,https://www.nature.com/articles/s42003-022-03466-x.pdf
 ,Interictal sleep recordings during presurgical evaluation: Bidirectional perspectives on sleep related network functioning.,10.1016/j.neurol.2022.03.011,2022-06-03,FALSE,closed,none,none
 ,RABENOSYN separation-of-function mutations uncouple endosomal recycling from lysosomal degradation[comma] causing a distinct Mendelian Disorder.,10.1093/hmg/ddac120,2022-06-03,FALSE,closed,none,none
 ,Early predictors of language skills at 3 years of age vary based on diagnostic outcome: A baby siblings research consortium study.,10.1002/aur.2760,2022-06-03,FALSE,closed,none,none
 ,Tau PET Imaging in Neurodegenerative Disorders.,10.2967/jnumed.121.263196,2022-06-02,FALSE,closed,none,none
 ,A Riemannian approach to predicting brain function from the structural connectome.,10.1016/j.neuroimage.2022.119299,2022-06-01,TRUE,gold,publishedVersion,https://doi.org/10.1016/j.neuroimage.2022.119299
 ,Null models in network neuroscience.,10.1038/s41583-022-00601-9,2022-06-01,FALSE,closed,none,none
 ,Siponimod vs placebo in active secondary progressive multiple sclerosis: a post hoc analysis from the phase 3 EXPAND study.,10.1007/s00415-022-11166-z,2022-06-01,TRUE,hybrid,publishedVersion,https://link.springer.com/content/pdf/10.1007/s00415-022-11166-z.pdf
 ,Splenial Callosal Disconnection in Right Hemianopic Patients Induces Right Visual-Spatial Neglect.,10.3390/brainsci12050640,2022-05-29,TRUE,gold,publishedVersion,https://www.mdpi.com/2076-3425/12/5/640/pdf?version=1652424560
 ,Automated Detection of Brain Metastases on T1-Weighted MRI Using a Convolutional Neural Network: Impact of Volume Aware Loss and Sampling Strategy.,10.1002/jmri.28274,2022-05-29,FALSE,closed,none,none
 ,Self-delivering RNAi compounds as therapeutic agents in the central nervous system to enhance axonal regeneration after injury.,10.1016/j.isci.2022.104379,2022-05-28,True,green,publishedVersion,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9127586
 ,Brain stimulation competes with ongoing oscillations for control of spike timing in the primate brain.,10.1371/journal.pbio.3001650,2022-05-26,True,gold,publishedVersion,https://journals.plos.org/plosbiology/article/file?id=10.1371/journal.pbio.3001650&type=printable
 ,Intensity matters: protocol for a randomized controlled trial exercise intervention for individuals with chronic stroke.,10.1186/s13063-022-06359-w,2022-05-25,True,gold,publishedVersion,https://trialsjournal.biomedcentral.com/track/pdf/10.1186/s13063-022-06359-w
 ,Differentiating amyloid beta spread in autosomal dominant and sporadic Alzheimer's disease.,10.1093/braincomms/fcac085,2022-05-24,True,gold,publishedVersion,https://academic.oup.com/braincomms/article-pdf/4/3/fcac085/43752424/fcac085.pdf
 ,DEPhosphorylation TArgeting Chimaera (DEPTAC): Targeting Tau Proteins in Tauopathies.,10.2174/1389203723666220519154229,2022-05-23,False,closed,none,none
 ,Long-range functional connections mirror and link microarchitectural and cognitive hierarchies in the human brain.,10.1093/cercor/bhac172,2022-05-22,False,closed,none,none
 ,Brain atrophy in prodromal synucleinopathy is shaped by structural connectivity and gene expression.,10.1093/brain/awac187,2022-05-21,True,green,submittedVersion,https://doi.org/10.1101/2021.12.27.21268442
 ,Sex-specific associations in verbal memory brain circuitry in early psychosis.,10.1016/j.jpsychires.2022.05.006,2022-05-21,False,closed,none,none
 ,An overview of the active clinical trials for Parkinson's disease psychosis.,10.2217/nmt-2022-0020,2022-05-21,False,closed,none,none
