neuro_author_s,title,journal,doi,pmid,date_not_actual,is_open_access,oa_type,oa_version,url_to_oa_version
Woojin Kang; Dominique Bédard; Philippe Huot,Quantitative determination of LY-404[comma]039[comma] a metabotropic glutamate 2/3 receptor agonist[comma] in rat plasma using chemical derivatization and HPLC-MRM/MS.,Biomedical chromatography : BMC,10.1002/bmc.5423,35684931,2022-06-11,False,closed,none,none
Fulya Akçimen; Patrick A Dion; Guy A Rouleau,Progress in the genetics of RLS: the path ahead in the era of WGS.,Sleep,10.1093/sleep/zsac136,35675840,2022-06-09,True,hybrid,publishedVersion,https://academic.oup.com/sleep/advance-article-pdf/doi/10.1093/sleep/zsac136/43984758/zsac136.pdf
Douglas L Arnold,Ocrelizumab reduces thalamic volume loss in patients with RMS and PPMS.,Multiple sclerosis (Houndmills[comma] Basingstoke[comma] England),10.1177/13524585221097561,35672926,2022-06-09,True,hybrid,publishedVersion,https://journals.sagepub.com/doi/pdf/10.1177/13524585221097561
Jason Karamchandani; Rami Massie; Colin H Chalk; Erin O'Ferrall,Novel homozygous nonsense mutation of MLIP and compensatory alternative splicing.,NPJ genomic medicine,10.1038/s41525-022-00307-y,35672413,2022-06-08,True,gold,publishedVersion,https://www.nature.com/articles/s41525-022-00307-y.pdf
Étienne de Villers-Sidani,Developmental Exposure to Bisphenol a Degrades Auditory Cortical Processing in Rats.,Neuroscience bulletin,10.1007/s12264-022-00891-0,35670954,2022-06-08,False,closed,none,none
Allison A Dilliott,Targeted copy number variant identification across the neurodegenerative disease spectrum.,Molecular genetics & genomic medicine,10.1002/mgg3.1986,35666053,2022-06-07,False,closed,none,none
Sue-Jin Lin; Tobias R Baumeister; Christophe Lenglos; Yasser Iturria-Medina,Neuroimaging signatures predicting motor improvement to focused ultrasound subthalamotomy in Parkinson's disease.,NPJ Parkinson's disease,10.1038/s41531-022-00332-9,35665753,2022-06-07,True,gold,publishedVersion,https://www.nature.com/articles/s41531-022-00332-9.pdf
Edward S Ruthazer,Editorial: Shedding Light on the Nervous System: Progress in Neurophotonics Research.,Frontiers in neural circuits,10.3389/fncir.2022.901376,35664457,2022-06-07,True,gold,publishedVersion,https://www.frontiersin.org/articles/10.3389/fncir.2022.901376/pdf
Danilo Bzdok,Interacting brains revisited: A cross-brain network neuroscience perspective.,Human brain mapping,10.1002/hbm.25966,35661477,2022-06-07,True,gold,publishedVersion,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/hbm.25966
Andrea L Benedet; Tharick A Pascoal; Mira Chamoun; Pedro Rosa-Neto,Quantification of SNAP-25 with mass spectrometry and Simoa: a method comparison in Alzheimer's disease.,Alzheimer's research & therapy,10.1186/s13195-022-01021-8,35659284,2022-06-07,True,gold,publishedVersion,https://alzres.biomedcentral.com/track/pdf/10.1186/s13195-022-01021-8
Danilo Bzdok,Population variation in social brain morphology: links to socioeconomic status and health disparity.,Social neuroscience,10.1080/17470919.2022.2083230,35658811,2022-06-07,False,closed,none,none
Andrea Bernasconi; Neda Bernasconi; Boris Bernhardt; Lorenzo Caciagli; Benoit Caldairou; Sara Larivière,Event-based modelling in temporal lobe epilepsy demonstrates progressive atrophy from cross-sectional data.,Epilepsia,10.1111/epi.17316,35656586,2022-06-04,False,closed,none,none
Zhen-Qi Liu; Bertha Vázquez-Rodríguez; R Nathan Spreng; Boris C Bernhardt; Bratislav Misic,Time-resolved structure-function coupling in brain networks.,Communications biology,10.1038/s42003-022-03466-x,35654886,2022-06-03,True,gold,publishedVersion,https://www.nature.com/articles/s42003-022-03466-x.pdf
B Frauscher,Interictal sleep recordings during presurgical evaluation: Bidirectional perspectives on sleep related network functioning.,Revue neurologique,10.1016/j.neurol.2022.03.011,35654611,2022-06-03,False,closed,none,none
Mehrdad A Estiar; Ziv Gan-Or; Guy A Rouleau; Rami Massie,RABENOSYN separation-of-function mutations uncouple endosomal recycling from lysosomal degradation[comma] causing a distinct Mendelian Disorder.,Human molecular genetics,10.1093/hmg/ddac120,35652444,2022-06-03,False,closed,none,none
Mayada Elsabbagh,Early predictors of language skills at 3 years of age vary based on diagnostic outcome: A baby siblings research consortium study.,Autism research : official journal of the International Society for Autism Research,10.1002/aur.2760,35652157,2022-06-03,False,closed,none,none
Sylvia Villeneuve,Tau PET Imaging in Neurodegenerative Disorders.,Journal of nuclear medicine : official publication[comma] Society of Nuclear Medicine,10.2967/jnumed.121.263196,35649647,2022-06-02,False,closed,none,none
Bratislav Mišić,Null models in network neuroscience.,Nature reviews. Neuroscience,10.1038/s41583-022-00601-9,35641793,2022-06-01,False,closed,none,none
Douglas L Arnold,Siponimod vs placebo in active secondary progressive multiple sclerosis: a post hoc analysis from the phase 3 EXPAND study.,Journal of neurology,10.1007/s00415-022-11166-z,35639197,2022-06-01,True,hybrid,publishedVersion,https://link.springer.com/content/pdf/10.1007/s00415-022-11166-z.pdf
Oualid Benkarim; Casey Paquola; Bo-Yong Park; Jessica Royer; Raúl Rodríguez-Cruces; Reinder Vos de Wael; Bratislav Misic; Boris C Bernhardt,A Riemannian approach to predicting brain function from the structural connectome.,NeuroImage,10.1016/j.neuroimage.2022.119299,35636736,2022-06-01,True,gold,publishedVersion,https://doi.org/10.1016/j.neuroimage.2022.119299
Michael Petrides,Splenial Callosal Disconnection in Right Hemianopic Patients Induces Right Visual-Spatial Neglect.,Brain sciences,10.3390/brainsci12050640,35625026,2022-05-29,True,gold,publishedVersion,https://www.mdpi.com/2076-3425/12/5/640/pdf?version=1652424560
Simon Ducharme,Automated Detection of Brain Metastases on T1-Weighted MRI Using a Convolutional Neural Network: Impact of Volume Aware Loss and Sampling Strategy.,Journal of magnetic resonance imaging : JMRI,10.1002/jmri.28274,35624544,2022-05-29,False,closed,none,none
Barbara Morquette; Alyson E Fournier,Self-delivering RNAi compounds as therapeutic agents in the central nervous system to enhance axonal regeneration after injury.,iScience,10.1016/j.isci.2022.104379,35620420,2022-05-28,True,green,publishedVersion,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9127586
